Edge_ID,Source_ID,Citing_Title,Citing_Year,Citing_Venue_Raw,Citing_DOI,Article_URL,Full_Text_URL,Citing_Authors_Raw,Context_Priority,Independence_Class,Independence_Confidence,Independence_Note,Phase3_Fast_Attempted,Phase3_Fast_Match_Source,Phase3_Fast_Title_Score,Phase3_Fast_OpenAlex_ID,Phase3_Fast_Canonical_DOI,Phase3_Fast_Authors,Phase3_Fast_Institutions,Phase3_Fast_Countries,Final_Independence_Class,Final_Independence_Confidence,Final_Independence_Note,Overlapping_Source_Authors,Phase3_Fast_Changed
E058,P01,Ti3C2Tx-MXene/PET textile-based flexible pressure sensor for wearable pulse monitoring,2023,Journal of Materials …,,https://pubs.rsc.org/tc/article-abstract/11/44/15638/835020,https://pubs.rsc.org/tc/article/11/44/15638/835020,"Q Zhang, H Zhang, J Liang, X Zhao, B Li…",Pending,Author metadata incomplete,Unresolved,Phase 2 unresolved record: full API author audit required.,Yes,OpenAlex title search below threshold,61.3,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E103,P01,Body-coupled self-powered piezoresistive sensing for human-machine interaction,2026,Chemical Engineering …,,https://www.sciencedirect.com/science/article/pii/S1385894726078952,,"G Ma, T Zhang, K Ma, S Xiong, M Zhang, C Gu…",Pending,Author metadata incomplete,Unresolved,Phase 2 unresolved record: full API author audit required.,Yes,OpenAlex title search below threshold,51.5,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E125,P01,Methanol as an anti-solvent to improve the low open-circuit voltage of CsPbBr3 perovskite solar cells prepared with water,2024,Dalton Transactions,,https://pubs.rsc.org/dt/article-abstract/53/11/5180/806887,https://pubs.rsc.org/dt/article-pdf/53/11/5180/9080605/d3dt04192a.pdf,"J Cheng, Z Gui, Y Jiang, J Wang, J Dong",Pending,Author metadata incomplete,Unresolved,Phase 2 unresolved record: full API author audit required.,Yes,OpenAlex title search below threshold,73.9,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E132,P01,Study on Pulse-taking Pressure Sensor based on Surface Acoustic Wave,2026,IEEE Sensors …,,https://ieeexplore.ieee.org/abstract/document/11483308/,https://ieeexplore.ieee.org/iel8/7361/4427201/11483308.pdf,"Y Feng, H Yu, X Yu, B Wang, B Zhang…",Pending,Author metadata incomplete,Unresolved,Phase 2 unresolved record: full API author audit required.,Yes,OpenAlex title search below threshold,51.1,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E243,P05,Computer simulation of polymer nanocomposites: Challenges and perspectives,2026,Fluid Phase …,,https://www.sciencedirect.com/science/article/pii/S0378381226001305,https://digibug.ugr.es/bitstream/handle/10481/113855/FPE_perspective_V02_clean.pdf?sequence=1&isAllowed=y,"A Escañuela-Copado, D Valero, G Giunta…",Pending,Author metadata incomplete,Unresolved,Phase 2 unresolved record: full API author audit required.,Yes,OpenAlex title search below threshold,54.2,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E246,P05,基于分子动力学模拟的纳米颗粒驱油 微观机理研究进展与展望.,2026,… Geology &Recovery …,,https://openurl.ebsco.com/contentitem/gcd:191592786?sid=ebsco:plink:crawler-gcd&id=ebsco:gcd:191592786&crl=c&jrnl=10099603,,"刘峰, 杨凯, 王昊, 王玥, 张少妮, 王俊奇…",Pending,Author metadata incomplete,Unresolved,Phase 2 unresolved record: full API author audit required.,Yes,OpenAlex title search below threshold,-2.0,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E290,P09,Classification of interfacial water governed by water–polymer interactions in hydrated polymers: A molecular dynamics simulation study of ethylene-based and …,2026,The Journal of Chemical …,,https://pubs.aip.org/aip/jcp/article/164/20/204903/3392824,https://arxiv.org/pdf/2603.25198,"A Hashimoto, K Shikata, K Kim…",Pending,Author metadata incomplete,Unresolved,Phase 2 unresolved record: full API author audit required.,Yes,OpenAlex title search below threshold,44.0,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
